Local time,Open,High,Low,Close,Volume
17.12.2020 00:00:00.000 GMT+0200,1.35081,1.36244,1.34948,1.35832,112419.76320000002
18.12.2020 00:00:00.000 GMT+0200,1.35854,1.35896,1.34712,1.35142,145563.86260000002
21.12.2020 00:00:00.000 GMT+0200,1.34004,1.34995,1.31875,1.34608,215787.1806
22.12.2020 00:00:00.000 GMT+0200,1.34617,1.34692,1.33036,1.33586,184219.88080000004
23.12.2020 00:00:00.000 GMT+0200,1.33593,1.35704,1.33505,1.34904,210919.07200000001
24.12.2020 00:00:00.000 GMT+0200,1.34908,1.36188,1.34872,1.35532,241350.05969999995
25.12.2020 00:00:00.000 GMT+0200,1.35535,1.35870,1.35300,1.35408,710.1650000000001
28.12.2020 00:00:00.000 GMT+0200,1.35452,1.35753,1.34290,1.34489,137738.97049999997
29.12.2020 00:00:00.000 GMT+0200,1.34489,1.35224,1.34408,1.34988,172445.66439999998
30.12.2020 00:00:00.000 GMT+0200,1.34989,1.36253,1.34926,1.36230,183377.29199999996
31.12.2020 00:00:00.000 GMT+0200,1.36236,1.36859,1.36037,1.36630,216781.8786
04.01.2021 00:00:00.000 GMT+0200,1.36455,1.37039,1.35412,1.35664,188158.00019999998
05.01.2021 00:00:00.000 GMT+0200,1.35663,1.36417,1.35540,1.36259,153838.80139999997
06.01.2021 00:00:00.000 GMT+0200,1.36256,1.36707,1.35384,1.36078,193537.38810000007
07.01.2021 00:00:00.000 GMT+0200,1.36065,1.36330,1.35325,1.35611,149436.73979999998
08.01.2021 00:00:00.000 GMT+0200,1.35625,1.36356,1.35378,1.35621,153858.7555
11.01.2021 00:00:00.000 GMT+0200,1.35588,1.35697,1.34503,1.35102,124224.9016
12.01.2021 00:00:00.000 GMT+0200,1.35094,1.36700,1.35040,1.36628,111322.441
13.01.2021 00:00:00.000 GMT+0200,1.36625,1.37009,1.36113,1.36336,114825.02240000002
14.01.2021 00:00:00.000 GMT+0200,1.36352,1.37107,1.36160,1.36861,118814.7008
15.01.2021 00:00:00.000 GMT+0200,1.36856,1.36977,1.35721,1.35769,108727.3456
18.01.2021 00:00:00.000 GMT+0200,1.35922,1.35996,1.35193,1.35852,88152.50670000001
19.01.2021 00:00:00.000 GMT+0200,1.35853,1.36363,1.35743,1.36289,85500.26239999999
20.01.2021 00:00:00.000 GMT+0200,1.36289,1.37186,1.36230,1.36497,90213.9209
21.01.2021 00:00:00.000 GMT+0200,1.36497,1.37456,1.36463,1.37304,93699.925
22.01.2021 00:00:00.000 GMT+0200,1.37305,1.37359,1.36355,1.36784,85341.292
25.01.2021 00:00:00.000 GMT+0200,1.36763,1.37232,1.36484,1.36743,87521.89709999999
26.01.2021 00:00:00.000 GMT+0200,1.36744,1.37442,1.36092,1.37360,81059.11080000001
27.01.2021 00:00:00.000 GMT+0200,1.37362,1.37585,1.36588,1.36846,125973.0665
28.01.2021 00:00:00.000 GMT+0200,1.36847,1.37457,1.36298,1.37181,121740.31109999999
29.01.2021 00:00:00.000 GMT+0200,1.37186,1.37512,1.36570,1.37023,137293.47360000003
01.02.2021 00:00:00.000 GMT+0200,1.37052,1.37574,1.36560,1.36588,106321.01359999999
02.02.2021 00:00:00.000 GMT+0200,1.36578,1.37101,1.36108,1.36669,89332.8977
