Local time,Open,High,Low,Close,Volume
31.01.2020 20:00:00.000 GMT+0200,1.31960,1.32090,1.31827,1.32014,22291.429799999998
03.02.2020 00:00:00.000 GMT+0200,1.31766,1.31837,1.31717,1.31762,16054.0197
03.02.2020 04:00:00.000 GMT+0200,1.31762,1.31782,1.31554,1.31629,16385.23
03.02.2020 08:00:00.000 GMT+0200,1.31629,1.31653,1.30796,1.30809,30397.8306
03.02.2020 12:00:00.000 GMT+0200,1.30809,1.30813,1.30458,1.30590,42235.840299999996
03.02.2020 16:00:00.000 GMT+0200,1.30594,1.30601,1.29895,1.30050,41781.479400000004
03.02.2020 20:00:00.000 GMT+0200,1.30050,1.30105,1.29827,1.29928,13800.779999999999
04.02.2020 00:00:00.000 GMT+0200,1.29928,1.29986,1.29809,1.29902,13840.5998
04.02.2020 04:00:00.000 GMT+0200,1.29902,1.30231,1.29826,1.30131,18678.9302
04.02.2020 08:00:00.000 GMT+0200,1.30131,1.30253,1.29410,1.30159,46299.140100000004
04.02.2020 12:00:00.000 GMT+0200,1.30161,1.30464,1.30004,1.30289,41180.1206
04.02.2020 16:00:00.000 GMT+0200,1.30289,1.30360,1.30117,1.30316,35138.4394
04.02.2020 20:00:00.000 GMT+0200,1.30315,1.30438,1.30266,1.30293,11924.460000000001
05.02.2020 00:00:00.000 GMT+0200,1.30293,1.30386,1.30177,1.30230,14907.520100000002
05.02.2020 04:00:00.000 GMT+0200,1.30229,1.30241,1.30117,1.30174,13931.080299999998
05.02.2020 08:00:00.000 GMT+0200,1.30174,1.30697,1.30084,1.30660,38017.9298
05.02.2020 12:00:00.000 GMT+0200,1.30655,1.30671,1.29913,1.30087,38710.4404
05.02.2020 16:00:00.000 GMT+0200,1.30086,1.30129,1.29560,1.30038,46710.090299999996
05.02.2020 20:00:00.000 GMT+0200,1.30044,1.30077,1.29857,1.30005,13647.720200000002
06.02.2020 00:00:00.000 GMT+0200,1.30017,1.30017,1.29821,1.29882,12728.469700000001
06.02.2020 04:00:00.000 GMT+0200,1.29882,1.29908,1.29714,1.29843,14549.1501
06.02.2020 08:00:00.000 GMT+0200,1.29843,1.29986,1.29671,1.29743,28034.259700000002
06.02.2020 12:00:00.000 GMT+0200,1.29743,1.29804,1.29480,1.29658,32356.4908
06.02.2020 16:00:00.000 GMT+0200,1.29658,1.29708,1.29220,1.29337,32438.309800000003
06.02.2020 20:00:00.000 GMT+0200,1.29337,1.29352,1.29211,1.29238,10193.45
07.02.2020 00:00:00.000 GMT+0200,1.29238,1.29386,1.29235,1.29366,11658.869900000002
07.02.2020 04:00:00.000 GMT+0200,1.29367,1.29439,1.29347,1.29403,16490.25
07.02.2020 08:00:00.000 GMT+0200,1.29405,1.29459,1.29211,1.29291,35152.79979999999
07.02.2020 12:00:00.000 GMT+0200,1.29291,1.29514,1.29249,1.29333,33078.6797
07.02.2020 16:00:00.000 GMT+0200,1.29332,1.29589,1.28942,1.29007,47040.239700000006
07.02.2020 20:00:00.000 GMT+0200,1.29004,1.29016,1.28813,1.28818,11852.300000000001
10.02.2020 00:00:00.000 GMT+0200,1.28843,1.28970,1.28822,1.28929,11566.53
10.02.2020 04:00:00.000 GMT+0200,1.28931,1.29085,1.28919,1.29071,9167.65
10.02.2020 08:00:00.000 GMT+0200,1.29069,1.29147,1.28716,1.29107,26943.200000000004
10.02.2020 12:00:00.000 GMT+0200,1.29106,1.29459,1.29076,1.29288,37212.850099999996
10.02.2020 16:00:00.000 GMT+0200,1.29288,1.29442,1.29068,1.29092,30626.129800000002
10.02.2020 20:00:00.000 GMT+0200,1.29092,1.29202,1.29077,1.29141,16266.920399999999
11.02.2020 00:00:00.000 GMT+0200,1.29129,1.29213,1.29057,1.29151,13723.2399
